   TESTNO,               DATE,     RANK,   CODE,                                             TYPE,   LOAD,SPINDLE,  RFVcw,RFVcw1H,RFVcw2H,RFVcw3H,  LFVcw,LFVcw1H,LFVcw2H,LFVcw3H,  LFDcw,  RFVcc,RFVcc1H,RFVcc2H,RFVcc3H,  LFVcc,LFVcc1H,LFVcc2H,LFVcc3H,  LFDcc,    CON,    PLY,   RROt,   RROc, RROc1H,   RROb,   LROt, LROt1H,   LROb, LROb1H, BULGEt, BULGEb,  DENTt,  DENTb, DRRAvg,RFVcwRANK,RFVcw1HRANK,LFVcwRANK,LFVcw1HRANK,LFDcwRANK,RFVccRANK,RFVcc1HRANK,LFVccRANK,LFVcc1HRANK,LFDccRANK,CONRANK,PLYRANK,RROtRANK,RROcRANK,RROc1HRANK,RRObRANK,LROtRANK,LROt1HRANK,LRObRANK,LROb1HRANK,BULGEtRANK,BULGEbRANK,DENTtRANK,DENTbRANK,DRRAvgRank,CONTEST,LROtTEST,LRObTEST,RROcTEST,
     15,2018/06/27  13:38:58,        D,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,   13.8,   11.7,    1.7,    0.2,    4.1,    3.1,    0.3,    1.3,   13.9,   13.4,   11.2,    1.2,    0.1,    3.9,    2.5,    0.7,    1.4,  -16.3,   -1.2,   15.1,   0.00,   0.23,   0.14,   0.00,   0.00,   0.00,   0.63,   0.39,   0.00,   0.21,   0.00,   0.20, 325.92,      B,      D,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     16,2018/06/27  13:39:26,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    5.8,    3.1,    1.3,    1.1,    2.9,    1.4,    1.5,    0.4,   13.9,    5.9,    2.9,    1.4,    1.1,    2.0,    0.6,    1.1,    0.7,  -16.1,   -1.1,   15.0,   0.00,   0.13,   0.08,   0.00,   0.00,   0.00,   0.35,   0.07,   0.00,   0.20,   0.00,   0.21, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     17,2018/06/27  13:39:52,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    5.1,    2.1,    2.1,    1.1,    2.2,    0.8,    1.3,    0.9,   16.7,    6.0,    3.3,    1.7,    1.3,    2.4,    0.6,    1.5,    0.8,  -16.6,    0.0,   16.6,   0.00,   0.13,   0.07,   0.00,   0.00,   0.00,   0.43,   0.22,   0.00,   0.21,   0.00,   0.21, 325.92,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     18,2018/06/27  13:40:20,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    4.7,    1.5,    1.0,    0.8,    1.7,    1.0,    0.9,    0.3,   14.4,    5.8,    2.3,    0.8,    0.7,    2.3,    0.6,    1.3,    0.5,  -15.4,   -0.5,   14.9,   0.00,   0.12,   0.03,   0.00,   0.00,   0.00,   0.37,   0.26,   0.00,   0.10,   0.00,   0.04, 325.40,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     19,2018/06/27  13:41:01,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    5.5,    3.3,    1.7,    0.9,    2.1,    1.3,    0.6,    0.4,   15.2,    6.2,    4.0,    1.6,    0.8,    2.1,    1.3,    0.2,    0.2,  -17.0,   -0.9,   16.1,   0.00,   0.13,   0.02,   0.00,   0.00,   0.00,   0.33,   0.14,   0.00,   0.17,   0.00,   0.20, 325.92,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     20,2018/06/27  14:05:59,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    7.0,    5.3,    1.7,    0.7,    3.6,    2.6,    1.6,    0.3,   15.0,    6.1,    4.1,    1.4,    0.7,    3.6,    2.4,    1.6,    0.2,  -16.9,   -0.9,   15.9,   0.00,   0.20,   0.14,   0.00,   0.00,   0.00,   0.58,   0.29,   0.00,   0.23,   0.00,   0.18, 326.13,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     21,2018/06/27  14:11:32,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    8.6,    5.2,    1.8,    1.9,    1.5,    0.4,    0.8,    0.4,   15.2,    7.5,    4.3,    1.7,    1.7,    1.6,    0.8,    1.0,    0.3,  -15.4,   -0.1,   15.3,   0.00,   0.32,   0.04,   0.00,   0.00,   0.00,   0.52,   0.18,   0.00,   0.21,   0.00,   0.19, 325.92,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     22,2018/06/27  14:13:08,        B,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,   10.6,    8.7,    1.9,    0.8,    1.6,    0.9,    0.4,    0.5,   15.2,    9.8,    8.5,    1.4,    0.9,    1.8,    1.4,    0.2,    0.3,  -15.9,   -0.3,   15.5,   0.00,   0.29,   0.22,   0.00,   0.00,   0.00,   0.56,   0.20,   0.00,   0.23,   0.00,   0.18, 325.81,      B,      B,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     23,2018/06/27  14:15:32,        B,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,   11.3,    9.5,    1.7,    0.1,    4.0,    3.1,    0.4,    1.2,   14.6,   11.5,    9.5,    1.3,    0.1,    3.5,    1.9,    0.7,    1.5,  -15.9,   -0.7,   15.3,   0.00,   0.23,   0.10,   0.00,   0.00,   0.00,   0.61,   0.36,   0.00,   0.21,   0.00,   0.20, 326.02,      B,      B,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     24,2018/06/27  14:16:10,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    9.3,    5.3,    2.0,    1.7,    2.3,    1.4,    0.5,    0.2,   13.6,   10.3,    6.3,    2.2,    1.6,    2.5,    1.8,    0.7,    0.3,  -14.9,   -0.6,   14.3,   0.00,   0.37,   0.20,   0.00,   0.00,   0.00,   0.38,   0.30,   0.00,   0.07,   0.00,   0.04, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     25,2018/06/27  14:16:37,        B,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    9.0,    7.4,    1.9,    0.6,    2.7,    1.8,    1.2,    0.4,   13.6,    8.7,    7.1,    2.1,    0.6,    1.6,    0.5,    0.6,    0.8,  -16.7,   -1.5,   15.1,   0.00,   0.30,   0.19,   0.00,   0.00,   0.00,   0.41,   0.22,   0.00,   0.20,   0.00,   0.17, 325.19,      A,      B,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     26,2018/06/27  14:17:04,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.8,     59,    3.6,    0.7,    1.7,    1.2,    1.0,    0.2,    0.3,    0.3,   13.5,    3.7,    1.2,    0.8,    1.1,    1.9,    1.0,    0.8,    0.4,  -16.4,   -1.5,   14.9,   0.00,   0.22,   0.21,   0.00,   0.00,   0.00,   0.35,   0.24,   0.00,   0.12,   0.00,   0.05, 325.50,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     27,2018/06/27  14:25:01,        B,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    8.5,    6.9,    0.8,    0.6,    2.0,    1.6,    0.7,    0.4,   14.2,    9.1,    7.1,    1.2,    0.6,    1.4,    1.0,    0.2,    0.2,  -16.8,   -1.3,   15.5,   0.00,   0.18,   0.16,   0.00,   0.00,   0.00,   0.44,   0.45,   0.00,   0.05,   0.00,   0.05, 325.60,      A,      B,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     28,2018/06/27  14:25:25,        B,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    9.4,    6.2,    1.6,    0.2,    1.9,    0.2,    1.5,    0.4,   14.6,    8.5,    5.1,    1.0,    0.2,    2.1,    1.3,    0.8,    0.2,  -16.0,   -0.7,   15.3,   0.00,   0.12,   0.08,   0.00,   0.00,   0.00,   0.48,   0.14,   0.00,   0.20,   0.00,   0.19, 325.81,      A,      B,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     29,2018/06/27  14:26:06,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    7.2,    5.2,    1.7,    1.0,    3.2,    1.9,    1.1,    0.7,   12.4,    6.3,    4.4,    1.3,    0.6,    2.4,    1.7,    1.0,    0.6,  -16.6,   -2.1,   14.5,   0.00,   0.17,   0.10,   0.00,   0.00,   0.00,   0.30,   0.10,   0.00,   0.09,   0.00,   0.05, 325.50,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     30,2018/06/27  14:26:33,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    3.3,    2.0,    1.3,    0.5,    2.4,    0.9,    0.8,    0.8,   14.8,    4.1,    2.8,    1.0,    0.7,    2.3,    0.3,    0.7,    1.0,  -16.6,   -0.9,   15.7,   0.00,   0.15,   0.09,   0.00,   0.00,   0.00,   0.49,   0.21,   0.00,   0.09,   0.00,   0.21, 325.60,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     31,2018/06/27  14:26:59,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    6.4,    3.1,    0.9,    1.4,    1.9,    1.0,    0.9,    0.3,   14.3,    4.7,    1.9,    0.4,    1.1,    1.8,    1.6,    0.7,    0.4,  -15.8,   -0.8,   15.0,   0.00,   0.10,   0.06,   0.00,   0.00,   0.00,   0.46,   0.18,   0.00,   0.09,   0.00,   0.15, 325.60,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     32,2018/06/27  14:27:27,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    4.8,    1.7,    0.3,    1.6,    2.2,    1.6,    0.2,    0.5,   15.4,    4.5,    1.0,    0.6,    1.4,    2.8,    2.4,    0.3,    0.4,  -15.0,    0.2,   15.2,   0.00,   0.16,   0.12,   0.00,   0.00,   0.00,   0.30,   0.28,   0.00,   0.08,   0.00,   0.07, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     33,2018/06/27  14:27:54,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    6.0,    4.0,    1.5,    0.2,    2.1,    1.4,    0.6,    0.3,   15.0,    6.7,    5.0,    1.3,    0.2,    2.3,    1.8,    0.3,    0.7,  -15.7,   -0.3,   15.4,   0.00,   0.14,   0.05,   0.00,   0.00,   0.00,   0.67,   0.29,   0.00,   0.26,   0.00,   0.26, 325.08,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     34,2018/06/27  14:28:22,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    4.7,    3.4,    1.0,    0.3,    2.3,    0.5,    1.4,    0.5,   13.5,    4.7,    3.4,    0.9,    0.2,    2.0,    0.8,    0.8,    0.2,  -14.3,   -0.4,   13.9,   0.00,   0.14,   0.12,   0.00,   0.00,   0.00,   0.39,   0.25,   0.00,   0.21,   0.00,   0.24, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     35,2018/06/27  14:29:02,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    9.0,    4.7,    2.4,    1.7,    2.7,    1.4,    1.4,    0.7,   12.3,    8.5,    5.2,    1.9,    1.5,    3.4,    2.1,    1.3,    0.7,  -15.1,   -1.4,   13.7,   0.00,   0.30,   0.22,   0.00,   0.00,   0.00,   0.77,   0.79,   0.00,   0.10,   0.00,   0.05, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     36,2018/06/27  14:29:29,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    4.6,    2.1,    2.1,    1.3,    2.1,    1.4,    0.6,    0.4,   13.3,    4.9,    2.2,    2.0,    1.1,    2.8,    2.4,    0.4,    0.1,  -14.8,   -0.7,   14.1,   0.00,   0.23,   0.21,   0.00,   0.00,   0.00,   0.45,   0.15,   0.00,   0.11,   0.00,   0.21, 325.60,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     37,2018/06/27  14:29:56,        B,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    9.0,    6.4,    1.8,    0.9,    1.4,    0.5,    0.7,    0.0,   14.0,    6.6,    4.4,    0.9,    1.0,    1.8,    1.3,    0.6,    0.2,  -14.7,   -0.3,   14.3,   0.00,   0.26,   0.23,   0.00,   0.00,   0.00,   0.48,   0.27,   0.00,   0.22,   0.00,   0.23, 325.71,      A,      B,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     38,2018/06/27  14:30:23,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    5.5,    4.4,    0.5,    0.6,    1.9,    1.6,    0.2,    0.3,   13.1,    5.7,    4.9,    0.3,    0.8,    2.6,    2.3,    0.2,    0.1,  -14.1,   -0.5,   13.6,   0.00,   0.19,   0.12,   0.00,   0.00,   0.00,   0.65,   0.42,   0.00,   0.23,   0.00,   0.22, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     39,2018/06/27  14:30:50,        B,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    9.4,    6.3,    1.3,    1.4,    2.5,    1.9,    0.8,    0.3,   14.2,    8.3,    5.3,    1.1,    1.4,    1.2,    0.7,    0.6,    0.3,  -15.3,   -0.6,   14.7,   0.00,   0.34,   0.28,   0.00,   0.00,   0.00,   0.29,   0.13,   0.00,   0.08,   0.00,   0.07, 325.50,      A,      B,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     40,2018/06/27  14:31:18,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    4.9,    1.1,    1.5,    1.8,    1.2,    0.3,    0.6,    0.4,   14.5,    4.6,    0.6,    1.7,    1.6,    1.3,    0.5,    0.4,    0.5,  -15.0,   -0.2,   14.8,   0.00,   0.28,   0.12,   0.00,   0.00,   0.00,   0.37,   0.14,   0.00,   0.20,   0.00,   0.19, 325.40,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     41,2018/06/27  14:31:58,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    4.6,    2.8,    0.8,    0.5,    3.0,    2.1,    0.7,    0.6,   14.1,    5.0,    3.0,    0.7,    0.5,    3.1,    2.3,    0.8,    0.3,  -13.6,    0.2,   13.9,   0.00,   0.25,   0.17,   0.00,   0.00,   0.00,   0.27,   0.20,   0.00,   0.06,   0.00,   0.04, 326.02,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
     42,2018/06/27  14:32:24,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    5.5,    3.2,    1.0,    0.7,    1.5,    1.2,    0.2,    0.1,   13.4,    5.9,    3.4,    1.4,    0.8,    2.8,    2.1,    0.7,    0.4,  -14.5,   -0.6,   13.9,   0.00,   0.22,   0.20,   0.00,   0.00,   0.00,   0.45,   0.37,   0.00,   0.18,   0.00,   0.23, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
